CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,KMeans_Label,Cluster_Name,Heuristic_Segment
14457,21,1,1583.7096000000001,4,1,2,7,3,Loyal Customers,New Customers
14460,20,2,367.3252,4,1,1,6,3,Loyal Customers,New Customers
14462,7,39,8000.47616,4,4,4,12,3,Loyal Customers,Champions
14466,11,11,1928.65155,4,3,3,10,3,Loyal Customers,Loyal Customers
14467,33,9,2797.2293600000003,4,2,3,9,3,Loyal Customers,Potential Loyalists
14472,146,28,6076.858200000001,2,4,4,10,3,Loyal Customers,Loyal Customers
14479,262,5,383.87068,1,1,1,3,0,Regular Customers,Hibernating
14487,294,11,1458.59704,1,3,2,6,0,Regular Customers,At Risk
14491,345,3,563.4453000000001,1,1,1,3,0,Regular Customers,Hibernating
14496,28,3,728.49746,4,1,2,7,3,Loyal Customers,New Customers
14497,13,19,2608.26898,4,3,3,10,3,Loyal Customers,Loyal Customers
14498,232,6,667.3546600000001,1,2,1,4,0,Regular Customers,Hibernating
14501,81,4,979.22,3,1,2,6,3,Loyal Customers,New Customers
14502,31,21,4676.31872,4,3,4,11,3,Loyal Customers,Loyal Customers
14505,150,94,11130.76581,2,4,4,10,1,VIP Customers,Loyal Customers
14506,308,30,6254.85652,1,4,4,9,0,Regular Customers,Loyal Customers
14514,129,10,1232.07806,3,2,2,7,3,Loyal Customers,Potential Loyalists
14524,223,7,959.0431800000001,1,2,2,5,0,Regular Customers,Hibernating
14525,112,18,2073.56084,3,3,3,9,3,Loyal Customers,Loyal Customers
14527,33,84,16485.60467,4,4,4,12,1,VIP Customers,Champions
14532,40,11,1882.35806,4,3,3,10,3,Loyal Customers,Loyal Customers
14533,172,6,1405.88004,2,2,2,6,0,Regular Customers,Hibernating
14534,70,22,5265.1162,3,3,4,10,3,Loyal Customers,Loyal Customers
14540,13,10,1465.81808,4,2,2,8,3,Loyal Customers,Potential Loyalists
14541,48,42,12981.44168,4,4,4,12,3,Loyal Customers,Champions
14543,73,10,2779.6621,3,2,3,8,3,Loyal Customers,Potential Loyalists
14544,231,26,4570.11758,1,4,4,9,0,Regular Customers,Loyal Customers
14548,66,2,346.6682,3,1,1,5,2,At Risk Customers,New Customers
14549,24,29,6823.19779,4,4,4,12,3,Loyal Customers,Champions
14553,166,6,806.04186,2,2,2,6,0,Regular Customers,Hibernating
14560,11,13,1922.58933,4,3,3,10,3,Loyal Customers,Loyal Customers
14565,230,17,1770.5179400000002,1,3,2,6,0,Regular Customers,At Risk
14572,97,43,5204.52161,3,4,4,11,3,Loyal Customers,Loyal Customers
14573,335,36,7277.1774000000005,1,4,4,9,0,Regular Customers,Loyal Customers
14576,336,1,63.53946,1,1,1,3,2,At Risk Customers,Hibernating
14577,242,19,2521.74098,1,3,3,7,0,Regular Customers,Loyal Customers
14587,25,57,10281.36925,4,4,4,12,1,VIP Customers,Champions
14589,333,1,173.0154,1,1,1,3,2,At Risk Customers,Hibernating
14594,355,25,4919.52914,1,4,4,9,0,Regular Customers,Loyal Customers
14595,39,5,709.2682,4,1,2,7,3,Loyal Customers,New Customers
14600,1,2,797.148,4,1,2,7,3,Loyal Customers,New Customers
14606,1,289,59096.833470000005,4,4,4,12,1,VIP Customers,Champions
14608,235,1,6.5962,1,1,1,3,2,At Risk Customers,Hibernating
14616,62,1,130.9,3,1,1,5,2,At Risk Customers,New Customers
14618,158,3,575.9905500000001,2,1,1,4,2,At Risk Customers,Hibernating
14621,199,11,3659.55782,2,3,3,8,0,Regular Customers,Loyal Customers
14625,227,12,1836.73836,1,3,3,7,0,Regular Customers,Loyal Customers
14627,27,4,628.9102,4,1,1,6,3,Loyal Customers,New Customers
14639,195,22,3217.89996,2,3,3,8,0,Regular Customers,Loyal Customers
14643,173,10,1211.5626000000002,2,2,2,6,0,Regular Customers,Hibernating
14646,91,114,22048.135290000002,3,4,4,11,1,VIP Customers,Loyal Customers
14653,162,17,2467.2044600000004,2,3,3,8,3,Loyal Customers,Loyal Customers
14657,110,33,5065.71432,3,4,4,11,3,Loyal Customers,Loyal Customers
14659,43,21,5739.24588,4,3,4,11,3,Loyal Customers,Loyal Customers
14662,47,18,4047.5481,4,3,3,10,3,Loyal Customers,Loyal Customers
14665,21,12,5341.6145799999995,4,3,4,11,3,Loyal Customers,Loyal Customers
14667,111,71,28865.82314,3,4,4,11,1,VIP Customers,Loyal Customers
14669,135,43,6092.26872,2,4,4,10,3,Loyal Customers,Loyal Customers
14672,148,16,2413.38528,2,3,3,8,3,Loyal Customers,Loyal Customers
14673,286,7,1673.4791000000002,1,2,2,5,0,Regular Customers,Hibernating
14679,335,1,152.1729,1,1,1,3,2,At Risk Customers,Hibernating
14680,71,38,7614.033,3,4,4,11,3,Loyal Customers,Loyal Customers
14684,238,24,3242.4264000000003,1,4,3,8,0,Regular Customers,Loyal Customers
14688,33,38,7681.228370000001,4,4,4,12,3,Loyal Customers,Champions
14692,79,18,5431.09638,3,3,4,10,3,Loyal Customers,Loyal Customers
14696,108,26,3569.9902,3,4,3,10,3,Loyal Customers,Loyal Customers
14701,53,38,8102.009120000001,4,4,4,12,3,Loyal Customers,Champions
14702,46,41,8012.28888,4,4,4,12,3,Loyal Customers,Champions
14708,222,8,1767.88013,1,2,2,5,0,Regular Customers,Hibernating
14709,41,17,2625.67256,4,3,3,10,3,Loyal Customers,Loyal Customers
14713,93,49,7399.894560000001,3,4,4,11,3,Loyal Customers,Loyal Customers
14715,130,7,500.35826000000003,3,2,1,6,2,At Risk Customers,Potential Loyalists
14723,192,41,6699.4340600000005,2,4,4,10,0,Regular Customers,Loyal Customers
14729,358,42,8673.163700000001,1,4,4,9,0,Regular Customers,Loyal Customers
14732,167,5,315.59804,2,1,1,4,2,At Risk Customers,Hibernating
14733,59,72,10975.58914,3,4,4,11,1,VIP Customers,Loyal Customers
14735,18,19,2990.2203400000003,4,3,3,10,3,Loyal Customers,Loyal Customers
14737,173,2,157.20556,2,1,1,4,2,At Risk Customers,Hibernating
14738,51,9,2141.50876,4,2,3,9,3,Loyal Customers,Potential Loyalists
14739,162,11,966.46758,2,3,2,7,0,Regular Customers,At Risk
14741,232,8,1392.9336600000001,1,2,2,5,0,Regular Customers,Hibernating
14744,29,9,1796.44632,4,2,2,8,3,Loyal Customers,Potential Loyalists
14748,131,19,1635.85763,3,3,2,8,3,Loyal Customers,Potential Loyalists
14755,144,18,2693.46372,2,3,3,8,3,Loyal Customers,Loyal Customers
14761,145,3,919.8261200000001,2,1,2,5,3,Loyal Customers,Hibernating
14766,258,5,819.9836,1,1,2,4,0,Regular Customers,Hibernating
14769,103,33,4948.37055,3,4,4,11,3,Loyal Customers,Loyal Customers
